split,source_label,label,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap
train,No Fit,0,0.0664,0.15,0,9.0
train,No Fit,0,0.0582,0.25,0,0.0
train,No Fit,0,0.0289,0.1176,-1,15.0
train,No Fit,0,0.0732,0.2,0,16.0
train,No Fit,0,0.0673,0.35,0,6.0
train,No Fit,0,0.0551,0.15,1,-1.0
train,No Fit,0,0.1614,0.55,2,10.0
train,No Fit,0,0.0433,0.15,1,28.0
train,No Fit,0,0.0384,0.4,-1,0.0
train,No Fit,0,0.054,0.4,0,1.0
train,No Fit,0,0.0505,0.15,0,9.0
train,No Fit,0,0.1492,0.375,1,12.0
train,No Fit,0,0.0503,0.2,0,-3.0
train,No Fit,0,0.0492,0.2,0,13.0
train,No Fit,0,0.0244,0.15,-1,0.0
train,No Fit,0,0.1492,0.4,-1,21.0
train,No Fit,0,0.0972,0.6,0,-15.0
train,No Fit,0,0.0118,0.0769,0,15.0
train,No Fit,0,0.0408,0.1,2,10.0
train,No Fit,0,0.0179,0.1667,1,9.0
train,No Fit,0,0.0608,0.25,0,-6.0
train,No Fit,0,0.1237,0.45,-2,15.0
train,No Fit,0,0.1028,0.3,-2,10.0
train,No Fit,0,0.0656,0.2105,1,0.0
train,No Fit,0,0.0686,0.35,0,-2.0
train,No Fit,0,0.1356,0.5,0,10.0
train,No Fit,0,0.1072,0.2,-1,15.0
train,No Fit,0,0.0582,0.05,2,12.0
train,No Fit,0,0.0349,0.25,-3,18.0
train,No Fit,0,0.0435,0.1,0,12.0
train,No Fit,0,0.0309,0.2,0,7.0
train,No Fit,0,0.0181,0.0,-1,7.0
train,No Fit,0,0.0539,0.15,0,13.0
train,No Fit,0,0.0342,0.05,0,7.0
train,No Fit,0,0.0253,0.15,-1,17.0
train,No Fit,0,0.0358,0.15,1,-1.0
train,No Fit,0,0.0807,0.25,0,4.0
train,No Fit,0,0.0919,0.3,0,8.0
train,No Fit,0,0.0626,0.15,0,22.0
train,No Fit,0,0.0136,0.0,0,10.0
train,No Fit,0,0.185,0.65,1,0.0
train,No Fit,0,0.0489,0.4167,0,10.0
train,No Fit,0,0.0884,0.2,1,11.0
train,No Fit,0,0.0274,0.3,0,5.0
train,No Fit,0,0.0606,0.45,0,0.0
train,No Fit,0,0.0943,0.4,1,11.0
train,No Fit,0,0.0268,0.05,0,10.0
train,No Fit,0,0.1223,0.35,-1,-5.0
train,No Fit,0,0.0867,0.3,1,5.0
train,No Fit,0,0.1231,0.55,-1,10.0
train,No Fit,0,0.0253,0.05,0,0.0
train,No Fit,0,0.1211,0.1,0,18.0
train,No Fit,0,0.0593,0.15,1,2.0
train,No Fit,0,0.0927,0.2,-1,14.0
train,No Fit,0,0.0554,0.15,0,10.0
train,No Fit,0,0.0464,0.15,0,6.0
train,No Fit,0,0.038,0.2,0,5.0
train,No Fit,0,0.0367,0.05,-2,11.0
train,No Fit,0,0.0499,0.1,-2,15.0
train,No Fit,0,0.0468,0.15,-1,17.0
train,No Fit,0,0.0351,0.1,0,8.0
train,No Fit,0,0.0563,0.3,0,-2.0
train,No Fit,0,0.1792,0.45,0,0.0
train,No Fit,0,0.0942,0.2,2,5.0
train,No Fit,0,0.0897,0.35,1,22.0
train,No Fit,0,0.0503,0.1,-1,-2.0
train,No Fit,0,0.0701,0.15,-1,12.0
train,No Fit,0,0.0455,0.4,1,7.0
train,No Fit,0,0.0884,0.2,-2,10.0
train,No Fit,0,0.0742,0.2,0,0.0
train,No Fit,0,0.0603,0.1,1,12.0
train,No Fit,0,0.1173,0.2,0,8.0
train,No Fit,0,0.0297,0.2,0,13.0
train,No Fit,0,0.0512,0.15,0,4.0
train,No Fit,0,0.0465,0.05,0,2.0
train,No Fit,0,0.0933,0.3,-1,10.0
train,No Fit,0,0.0584,0.2,0,0.0
train,No Fit,0,0.1435,0.15,0,4.0
train,No Fit,0,0.0364,0.35,1,9.0
train,No Fit,0,0.0176,0.05,1,0.0
train,No Fit,0,0.0434,0.2,-1,0.0
train,No Fit,0,0.0255,0.4,0,0.0
train,No Fit,0,0.0298,0.1,-1,-4.0
train,No Fit,0,0.0554,0.25,-2,14.0
train,No Fit,0,0.0196,0.05,0,9.0
train,No Fit,0,0.0427,0.25,-1,-2.0
train,No Fit,0,0.0353,0.25,1,3.0
train,No Fit,0,0.0229,0.3,1,11.0
train,No Fit,0,0.087,0.4,1,0.0
train,No Fit,0,0.0655,0.3,0,15.0
train,No Fit,0,0.0805,0.25,0,5.0
train,No Fit,0,0.0904,0.25,0,0.0
train,No Fit,0,0.0315,0.1,0,0.0
train,No Fit,0,0.1513,0.4,1,22.0
train,No Fit,0,0.0532,0.35,-2,0.0
train,No Fit,0,0.0358,0.1,0,12.0
train,No Fit,0,0.035,0.05,0,0.0
train,No Fit,0,0.0882,0.2,0,5.0
train,No Fit,0,0.0365,0.1,0,8.0
train,No Fit,0,0.0578,0.15,0,8.0
train,No Fit,0,0.0252,0.25,0,8.0
train,No Fit,0,0.0489,0.25,-1,8.0
train,No Fit,0,0.1053,0.25,-1,5.0
train,No Fit,0,0.0564,0.2,-1,6.0
train,No Fit,0,0.0514,0.3,0,0.0
train,No Fit,0,0.0264,0.2,0,12.0
train,No Fit,0,0.0509,0.0,0,0.0
train,No Fit,0,0.0473,0.25,1,11.0
train,No Fit,0,0.1139,0.55,0,-10.0
train,No Fit,0,0.0626,0.2,-1,-10.0
train,No Fit,0,0.0575,0.25,-1,14.0
train,No Fit,0,0.0585,0.2727,0,4.0
train,No Fit,0,0.1148,0.35,1,13.0
train,No Fit,0,0.1087,0.2,1,10.0
train,No Fit,0,0.0203,0.05,0,0.0
train,No Fit,0,0.0708,0.5,-1,12.0
train,No Fit,0,0.0326,0.25,-1,18.0
train,No Fit,0,0.0681,0.25,0,10.0
train,No Fit,0,0.0566,0.1,0,10.0
train,No Fit,0,0.0771,0.15,0,11.0
train,No Fit,0,0.1161,0.35,0,11.0
train,No Fit,0,0.1135,0.45,0,14.0
train,No Fit,0,0.0509,0.2,-1,5.0
train,No Fit,0,0.0699,0.35,0,15.0
train,No Fit,0,0.0836,0.25,0,0.0
train,No Fit,0,0.0271,0.1667,1,22.0
train,No Fit,0,0.0754,0.35,0,10.0
train,No Fit,0,0.0842,0.3,0,-10.0
train,No Fit,0,0.0288,0.15,-1,27.0
train,No Fit,0,0.064,0.15,0,5.0
train,No Fit,0,0.1242,0.2,0,-2.0
train,No Fit,0,0.0711,0.25,0,12.0
train,No Fit,0,0.0598,0.3,1,-1.0
train,No Fit,0,0.0925,0.5,1,-2.0
train,No Fit,0,0.0889,0.35,0,14.0
train,No Fit,0,0.0536,0.15,0,-4.0
train,No Fit,0,0.0316,0.15,1,11.0
train,No Fit,0,0.0688,0.2,3,12.0
train,No Fit,0,0.0833,0.35,-1,9.0
train,No Fit,0,0.0599,0.2,0,-1.0
train,No Fit,0,0.0751,0.35,1,6.0
train,No Fit,0,0.0856,0.35,-1,10.0
train,No Fit,0,0.0647,0.45,0,13.0
train,No Fit,0,0.1508,0.35,1,0.0
train,No Fit,0,0.069,0.4,-1,-10.0
train,No Fit,0,0.1175,0.2,0,17.0
train,No Fit,0,0.0702,0.3,0,8.0
train,No Fit,0,0.2401,0.4,0,12.0
train,No Fit,0,0.071,0.35,0,8.0
train,No Fit,0,0.1337,0.25,0,0.0
train,No Fit,0,0.0414,0.05,0,11.0
train,No Fit,0,0.1169,0.25,0,6.0
train,No Fit,0,0.2181,0.5,1,7.0
train,No Fit,0,0.0076,0.05,2,15.0
train,No Fit,0,0.0797,0.2,0,0.0
train,No Fit,0,0.0927,0.1,-1,12.0
train,No Fit,0,0.0508,0.1,-1,5.0
train,No Fit,0,0.093,0.35,0,5.0
train,No Fit,0,0.0628,0.4,0,5.0
train,No Fit,0,0.0503,0.25,-1,10.0
train,No Fit,0,0.0613,0.4,0,4.0
train,No Fit,0,0.0109,0.2,1,9.0
train,No Fit,0,0.053,0.3,-1,-2.0
train,No Fit,0,0.087,0.3,-1,9.0
train,No Fit,0,0.0861,0.35,0,-3.0
train,No Fit,0,0.0303,0.25,1,13.0
train,No Fit,0,0.0568,0.3077,0,5.0
train,No Fit,0,0.0524,0.15,0,10.0
train,No Fit,0,0.1108,0.3,0,14.0
train,No Fit,0,0.089,0.25,0,0.0
train,No Fit,0,0.0716,0.15,0,4.0
train,No Fit,0,0.0435,0.2,0,0.0
train,No Fit,0,0.0617,0.15,0,4.0
train,No Fit,0,0.1497,0.55,-1,5.0
train,No Fit,0,0.0636,0.05,0,0.0
train,No Fit,0,0.0766,0.4,0,12.0
train,No Fit,0,0.0458,0.2,0,10.0
train,No Fit,0,0.131,0.35,0,5.0
train,No Fit,0,0.0728,0.15,0,0.0
train,No Fit,0,0.0258,0.1,-2,11.0
train,No Fit,0,0.0338,0.3,0,10.0
train,No Fit,0,0.075,0.25,0,10.0
train,No Fit,0,0.0447,0.15,1,0.0
train,No Fit,0,0.0699,0.05,-1,-1.0
train,No Fit,0,0.0673,0.2,0,7.0
train,No Fit,0,0.0173,0.1,0,18.0
train,No Fit,0,0.0699,0.45,0,13.0
train,No Fit,0,0.0427,0.1,-1,12.0
train,No Fit,0,0.0548,0.4,2,6.0
train,No Fit,0,0.0204,0.2,-1,7.0
train,No Fit,0,0.0419,0.1,0,8.0
train,No Fit,0,0.0865,0.2,-1,16.0
train,No Fit,0,0.0485,0.15,0,15.0
train,No Fit,0,0.0439,0.1,0,13.0
train,No Fit,0,0.1229,0.3,2,-5.0
train,No Fit,0,0.0351,0.0,0,8.0
train,No Fit,0,0.0665,0.4,-1,7.0
train,No Fit,0,0.1096,0.3,0,3.0
train,No Fit,0,0.0802,0.5,1,8.0
train,No Fit,0,0.114,0.55,2,12.0
train,No Fit,0,0.02,0.15,1,5.0
train,No Fit,0,0.0627,0.25,-1,0.0
train,No Fit,0,0.077,0.3,-1,0.0
train,No Fit,0,0.0237,0.3,1,9.0
train,No Fit,0,0.0452,0.0,0,1.0
train,No Fit,0,0.0509,0.35,0,0.0
train,No Fit,0,0.0346,0.25,0,2.0
train,No Fit,0,0.0811,0.2,0,13.0
train,No Fit,0,0.0728,0.5,1,0.0
train,No Fit,0,0.072,0.3,-1,29.0
train,No Fit,0,0.0955,0.2,0,0.0
train,No Fit,0,0.0113,0.05,0,8.0
train,No Fit,0,0.0564,0.35,0,13.0
train,No Fit,0,0.0423,0.1,-2,7.0
train,No Fit,0,0.1666,0.35,-1,8.0
train,No Fit,0,0.0517,0.45,1,5.0
train,No Fit,0,0.0468,0.2,2,5.0
train,No Fit,0,0.0796,0.1,1,-5.0
train,No Fit,0,0.018,0.2,0,0.0
train,No Fit,0,0.0418,0.2,-1,5.0
train,No Fit,0,0.0751,0.35,-1,7.0
train,No Fit,0,0.085,0.35,0,7.0
train,No Fit,0,0.1087,0.45,0,0.0
train,No Fit,0,0.0375,0.15,1,15.0
train,No Fit,0,0.0809,0.05,-2,13.0
train,No Fit,0,0.0516,0.1,0,20.0
train,No Fit,0,0.0113,0.15,0,10.0
train,No Fit,0,0.0532,0.15,0,0.0
train,No Fit,0,0.0862,0.25,-1,14.0
train,No Fit,0,0.062,0.2,0,0.0
train,No Fit,0,0.0309,0.3,-2,-10.0
train,No Fit,0,0.0397,0.3333,-2,12.0
train,No Fit,0,0.0347,0.1,0,0.0
train,No Fit,0,0.0663,0.2,1,-2.0
train,No Fit,0,0.1041,0.35,0,5.0
train,No Fit,0,0.0754,0.3333,0,13.0
train,No Fit,0,0.0363,0.1,0,1.0
train,No Fit,0,0.0428,0.35,0,8.0
train,No Fit,0,0.1201,0.25,1,11.0
train,No Fit,0,0.0177,0.1,-1,20.0
train,No Fit,0,0.0411,0.25,0,9.0
train,No Fit,0,0.1172,0.4,0,20.0
train,No Fit,0,0.0122,0.1667,0,13.0
train,No Fit,0,0.0722,0.05,0,12.0
train,No Fit,0,0.0479,0.15,0,8.0
train,No Fit,0,0.041,0.05,0,5.0
train,No Fit,0,0.0334,0.2353,0,23.0
train,No Fit,0,0.0307,0.25,-1,14.0
train,No Fit,0,0.0908,0.35,1,10.0
train,No Fit,0,0.0973,0.4,0,17.0
train,No Fit,0,0.0922,0.3,1,8.0
train,No Fit,0,0.049,0.4,3,0.0
train,No Fit,0,0.1194,0.45,-1,2.0
train,No Fit,0,0.0317,0.1765,1,5.0
train,No Fit,0,0.0677,0.05,2,12.0
train,No Fit,0,0.1453,0.3,1,8.0
train,No Fit,0,0.1799,0.2,0,6.0
train,No Fit,0,0.0922,0.2,0,14.0
train,No Fit,0,0.0608,0.0,0,1.0
train,No Fit,0,0.1437,0.4,0,0.0
train,No Fit,0,0.1126,0.15,1,-2.0
train,No Fit,0,0.0539,0.3,0,13.0
train,No Fit,0,0.0482,0.2,-1,-4.0
train,No Fit,0,0.0988,0.1,1,23.0
train,No Fit,0,0.0614,0.25,0,5.0
train,No Fit,0,0.0435,0.3,-1,-10.0
train,No Fit,0,0.0471,0.1,0,10.0
train,No Fit,0,0.0396,0.15,-1,10.0
train,No Fit,0,0.1171,0.5,0,16.0
train,No Fit,0,0.0564,0.3,-1,5.0
train,No Fit,0,0.1084,0.35,0,7.0
train,No Fit,0,0.0862,0.25,0,15.0
train,No Fit,0,0.0315,0.15,0,14.0
train,No Fit,0,0.0253,0.25,0,5.0
train,No Fit,0,0.04,0.1,-2,3.0
train,No Fit,0,0.0532,0.1,-2,-4.0
train,No Fit,0,0.0901,0.25,0,8.0
train,No Fit,0,0.0601,0.1,1,29.0
train,No Fit,0,0.0434,0.2,1,22.0
train,No Fit,0,0.0503,0.15,0,8.0
train,No Fit,0,0.0121,0.2,0,10.0
train,No Fit,0,0.1111,0.1,0,0.0
train,No Fit,0,0.0832,0.3,0,11.0
train,No Fit,0,0.0592,0.2,0,17.0
train,No Fit,0,0.0481,0.25,0,5.0
train,No Fit,0,0.0657,0.1,0,4.0
train,No Fit,0,0.0335,0.05,0,21.0
train,No Fit,0,0.1431,0.65,1,9.0
train,No Fit,0,0.0994,0.25,0,16.0
train,No Fit,0,0.0603,0.35,0,0.0
train,No Fit,0,0.0396,0.1,0,9.0
train,No Fit,0,0.0245,0.05,0,0.0
train,No Fit,0,0.0809,0.25,0,5.0
train,No Fit,0,0.0642,0.2,0,15.0
train,No Fit,0,0.0578,0.3,0,-6.0
train,No Fit,0,0.1107,0.35,1,5.0
train,No Fit,0,0.0772,0.15,0,10.0
train,No Fit,0,0.0232,0.05,-1,5.0
train,No Fit,0,0.0724,0.25,-1,10.0
train,No Fit,0,0.0353,0.05,0,23.0
train,No Fit,0,0.034,0.1,0,3.0
train,No Fit,0,0.073,0.3,1,13.0
train,No Fit,0,0.0667,0.5,2,12.0
train,No Fit,0,0.0808,0.4,0,5.0
train,No Fit,0,0.0514,0.3,-1,12.0
train,No Fit,0,0.0556,0.2,0,13.0
train,No Fit,0,0.0548,0.2105,0,2.0
train,No Fit,0,0.1647,0.45,0,20.0
train,No Fit,0,0.0309,0.05,-1,17.0
train,No Fit,0,0.0603,0.25,1,7.0
train,No Fit,0,0.1215,0.4,0,8.0
train,No Fit,0,0.0325,0.1,0,13.0
train,No Fit,0,0.0377,0.3,1,7.0
train,No Fit,0,0.0522,0.35,0,0.0
train,No Fit,0,0.0218,0.0769,1,13.0
train,No Fit,0,0.0787,0.2,-1,4.0
train,No Fit,0,0.1373,0.5,0,0.0
train,No Fit,0,0.0504,0.2,0,8.0
train,No Fit,0,0.0471,0.25,1,12.0
train,No Fit,0,0.1383,0.4,0,0.0
train,No Fit,0,0.0643,0.35,-1,18.0
train,No Fit,0,0.1602,0.45,1,-5.0
train,No Fit,0,0.0282,0.0,0,0.0
train,No Fit,0,0.2349,0.45,0,9.0
train,No Fit,0,0.0,0.0,0,12.0
train,No Fit,0,0.0342,0.3,-1,20.0
train,No Fit,0,0.0784,0.4,0,7.0
train,No Fit,0,0.0195,0.05,0,21.0
train,No Fit,0,0.0742,0.35,-1,0.0
train,No Fit,0,0.0721,0.25,0,23.0
train,No Fit,0,0.059,0.4,2,4.0
train,No Fit,0,0.0241,0.15,0,8.0
train,No Fit,0,0.1377,0.4,0,0.0
train,No Fit,0,0.0282,0.05,0,1.0
train,No Fit,0,0.0304,0.15,1,22.0
train,No Fit,0,0.0855,0.25,0,7.0
train,No Fit,0,0.0512,0.3846,-1,0.0
train,No Fit,0,0.0826,0.3,-2,12.0
train,No Fit,0,0.0864,0.2,0,0.0
train,No Fit,0,0.0778,0.15,0,3.0
train,No Fit,0,0.032,0.1,0,17.0
train,No Fit,0,0.0423,0.35,-1,7.0
train,No Fit,0,0.0313,0.15,-2,0.0
train,No Fit,0,0.0703,0.35,0,0.0
train,No Fit,0,0.0812,0.3,0,13.0
train,No Fit,0,0.0283,0.1,-1,12.0
train,No Fit,0,0.1013,0.4,1,15.0
train,No Fit,0,0.0226,0.0,-1,0.0
train,No Fit,0,0.0537,0.1,0,11.0
train,No Fit,0,0.1053,0.4,1,4.0
train,No Fit,0,0.0603,0.25,-1,12.0
train,No Fit,0,0.0797,0.1,0,17.0
train,No Fit,0,0.0222,0.15,1,15.0
train,No Fit,0,0.0515,0.2,0,8.0
train,No Fit,0,0.1947,0.4,0,12.0
train,No Fit,0,0.0444,0.15,1,11.0
train,No Fit,0,0.0529,0.25,0,19.0
train,No Fit,0,0.1136,0.65,1,-7.0
train,No Fit,0,0.0868,0.45,1,13.0
train,No Fit,0,0.0891,0.25,-2,0.0
train,No Fit,0,0.0724,0.2,-2,1.0
train,No Fit,0,0.0377,0.15,0,8.0
train,No Fit,0,0.1054,0.45,-1,4.0
train,No Fit,0,0.0142,0.1,0,23.0
train,No Fit,0,0.1068,0.3,0,5.0
train,No Fit,0,0.0133,0.0,0,1.0
train,No Fit,0,0.0343,0.25,1,-2.0
train,No Fit,0,0.0348,0.15,0,0.0
train,No Fit,0,0.0751,0.2,-2,12.0
train,No Fit,0,0.0862,0.25,-1,27.0
train,No Fit,0,0.0476,0.05,0,12.0
train,No Fit,0,0.0813,0.15,0,8.0
train,No Fit,0,0.0642,0.2,1,11.0
train,No Fit,0,0.0415,0.2,-2,2.0
train,No Fit,0,0.054,0.2,1,9.0
train,No Fit,0,0.0996,0.45,0,8.0
train,No Fit,0,0.0887,0.25,0,-5.0
train,No Fit,0,0.0701,0.35,1,13.0
train,No Fit,0,0.0359,0.15,0,8.0
train,No Fit,0,0.0742,0.35,-1,12.0
train,No Fit,0,0.0458,0.15,-2,3.0
train,No Fit,0,0.0393,0.25,-2,25.0
train,No Fit,0,0.0993,0.5,0,13.0
train,No Fit,0,0.0712,0.35,0,14.0
train,No Fit,0,0.0677,0.2,0,-2.0
train,No Fit,0,0.0567,0.15,-2,6.0
train,No Fit,0,0.0785,0.3,0,11.0
train,No Fit,0,0.089,0.25,0,4.0
train,No Fit,0,0.0367,0.25,-1,21.0
train,No Fit,0,0.0236,0.15,0,14.0
train,No Fit,0,0.046,0.3,1,13.0
train,No Fit,0,0.0436,0.1,-1,10.0
train,No Fit,0,0.0596,0.2,0,-4.0
train,No Fit,0,0.0797,0.2,0,4.0
train,No Fit,0,0.0444,0.0,-1,-3.0
train,No Fit,0,0.267,0.65,0,1.0
train,No Fit,0,0.0375,0.15,0,15.0
train,No Fit,0,0.0696,0.5,1,17.0
train,No Fit,0,0.0375,0.05,-1,-3.0
train,No Fit,0,0.0727,0.2,0,3.0
train,No Fit,0,0.0228,0.05,0,9.0
train,No Fit,0,0.0841,0.1,0,6.0
train,No Fit,0,0.0328,0.1,0,11.0
train,No Fit,0,0.1591,0.1,0,0.0
train,No Fit,0,0.0288,0.2,1,2.0
train,No Fit,0,0.0527,0.25,0,10.0
train,No Fit,0,0.1242,0.25,1,12.0
train,No Fit,0,0.0367,0.15,0,2.0
train,No Fit,0,0.0606,0.2,0,14.0
train,No Fit,0,0.0963,0.4,0,2.0
train,No Fit,0,0.1574,0.5,0,10.0
train,No Fit,0,0.0999,0.3,0,9.0
train,No Fit,0,0.0499,0.15,-1,9.0
train,No Fit,0,0.0444,0.15,-1,10.0
train,No Fit,0,0.0436,0.4,0,3.0
train,No Fit,0,0.0595,0.2,-3,13.0
train,No Fit,0,0.0423,0.1,0,4.0
train,No Fit,0,0.0394,0.0,-2,10.0
train,No Fit,0,0.1349,0.35,-1,-1.0
train,No Fit,0,0.0635,0.25,0,4.0
train,No Fit,0,0.0807,0.35,-1,12.0
train,No Fit,0,0.0921,0.3,-1,0.0
train,No Fit,0,0.0529,0.35,0,0.0
train,No Fit,0,0.0271,0.15,-1,5.0
train,No Fit,0,0.0573,0.3,0,3.0
train,No Fit,0,0.0661,0.15,-1,-5.0
train,No Fit,0,0.0978,0.75,0,5.0
train,No Fit,0,0.0377,0.05,0,15.0
train,No Fit,0,0.0742,0.1,0,0.0
train,No Fit,0,0.0391,0.05,1,6.0
train,No Fit,0,0.0621,0.3,1,7.0
train,No Fit,0,0.1082,0.3,0,-8.0
train,No Fit,0,0.061,0.2,0,7.0
train,No Fit,0,0.0618,0.2,0,0.0
train,No Fit,0,0.0593,0.2,0,7.0
train,No Fit,0,0.1153,0.25,0,-5.0
train,No Fit,0,0.0394,0.2,0,9.0
train,No Fit,0,0.0153,0.0,-2,16.0
train,No Fit,0,0.048,0.3,0,8.0
train,No Fit,0,0.0541,0.1765,0,15.0
train,No Fit,0,0.0588,0.2,1,11.0
train,No Fit,0,0.0555,0.15,1,22.0
train,No Fit,0,0.026,0.1,0,6.0
train,No Fit,0,0.0772,0.1,-1,12.0
train,No Fit,0,0.1306,0.25,2,13.0
train,No Fit,0,0.0626,0.2,0,10.0
train,No Fit,0,0.0412,0.1,-1,15.0
