resume_path,jd_path,category,tfidf_similarity,keyword_overlap_ratio,education_level_score,experience_gap,sentence_level_match,sbert_score,label
resumes/data\ACCOUNTANT\12338274.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2265,0.3,0,6.0,0.4977703988552093,0.5461,1
resumes/data\ACCOUNTANT\12338274.pdf,jds\AVIATION\AVIATION_senior.txt,ACCOUNTANT,0.0889,0.1,1,6.0,0.3646023571491241,0.3564,0
resumes/data\ACCOUNTANT\12338274.pdf,jds\AVIATION\AVIATION_mid.txt,ACCOUNTANT,0.0645,0.0,1,-2.0,0.3610666990280151,0.2939,0
resumes/data\ACCOUNTANT\12338274.pdf,jds\AVIATION\AVIATION_entry.txt,ACCOUNTANT,0.0509,0.0,1,4.0,0.4395475387573242,0.2674,0
resumes/data\ACCOUNTANT\12442909.pdf,jds\CHEF\CHEF_entry.txt,ACCOUNTANT,0.0796,0.2,1,49.0,0.3769387602806091,0.331,0
resumes/data\ACCOUNTANT\12780508.pdf,jds\ARTS\ARTS_entry.txt,ACCOUNTANT,0.0253,0.05,0,9.0,0.2750988304615021,0.1322,0
resumes/data\ACCOUNTANT\12780508.pdf,jds\ARTS\ARTS_mid.txt,ACCOUNTANT,0.023,0.05,-1,9.0,0.3334389925003052,0.207,0
resumes/data\ACCOUNTANT\12780508.pdf,jds\ARTS\ARTS_senior.txt,ACCOUNTANT,0.014,0.0,-2,9.0,0.2484717369079589,0.1435,0
resumes/data\ACCOUNTANT\12802330.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.3515,0.4,-1,14.0,0.4977966547012329,0.5893,1
resumes/data\ACCOUNTANT\12802330.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2653,0.3,-1,14.0,0.5259717702865601,0.593,1
resumes/data\ACCOUNTANT\12802330.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_senior.txt,ACCOUNTANT,0.0362,0.0,-1,14.0,0.4137435853481293,0.3846,0
resumes/data\ACCOUNTANT\12802330.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_entry.txt,ACCOUNTANT,0.0408,0.0,0,12.0,0.405788242816925,0.3992,0
resumes/data\ACCOUNTANT\13072019.pdf,jds\HEALTHCARE\HEALTHCARE_senior.txt,ACCOUNTANT,0.0251,0.05,-3,28.0,0.3584675192832947,0.3407,0
resumes/data\ACCOUNTANT\13072019.pdf,jds\HEALTHCARE\HEALTHCARE_entry.txt,ACCOUNTANT,0.0503,0.1,-2,26.0,0.3781623244285583,0.3532,0
resumes/data\ACCOUNTANT\13072019.pdf,jds\HEALTHCARE\HEALTHCARE_mid.txt,ACCOUNTANT,0.053,0.1,-3,28.0,0.3244008123874664,0.2967,0
resumes/data\ACCOUNTANT\13130984.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2805,0.25,0,31.0,0.4227688312530517,0.5551,1
resumes/data\ACCOUNTANT\13130984.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2169,0.35,0,31.0,0.4395190179347992,0.6389,1
resumes/data\ACCOUNTANT\13130984.pdf,jds\APPAREL\APPAREL_senior.txt,ACCOUNTANT,0.0423,0.05,0,31.0,0.2615542411804199,0.2828,0
resumes/data\ACCOUNTANT\13130984.pdf,jds\APPAREL\APPAREL_mid.txt,ACCOUNTANT,0.0557,0.15,0,31.0,0.3332862854003906,0.3274,0
resumes/data\ACCOUNTANT\13130984.pdf,jds\APPAREL\APPAREL_entry.txt,ACCOUNTANT,0.0228,0.05,1,29.0,0.2626316249370575,0.2866,0
resumes/data\ACCOUNTANT\13294301.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2225,0.3,-1,13.0,0.5491361618041992,0.5686,1
resumes/data\ACCOUNTANT\13491889.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2599,0.3,0,4.0,0.6077806949615479,0.4978,1
resumes/data\ACCOUNTANT\13491889.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_mid.txt,ACCOUNTANT,0.0643,0.1,0,-4.0,0.3702708482742309,0.2278,0
resumes/data\ACCOUNTANT\13491889.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_entry.txt,ACCOUNTANT,0.054,0.2,1,2.0,0.3350332379341125,0.1872,0
resumes/data\ACCOUNTANT\13491889.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_senior.txt,ACCOUNTANT,0.0586,0.25,0,4.0,0.4852893948554992,0.3597,0
resumes/data\ACCOUNTANT\13701259.pdf,jds\ARTS\ARTS_mid.txt,ACCOUNTANT,0.0391,0.05,-1,0.0,0.2984613180160522,0.2729,0
resumes/data\ACCOUNTANT\13701259.pdf,jds\ARTS\ARTS_senior.txt,ACCOUNTANT,0.0357,0.15,-2,0.0,0.2306403070688247,0.161,0
resumes/data\ACCOUNTANT\13701259.pdf,jds\ARTS\ARTS_entry.txt,ACCOUNTANT,0.0382,0.05,0,0.0,0.1898190528154373,0.2322,0
resumes/data\ACCOUNTANT\14055988.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_entry.txt,ACCOUNTANT,0.0531,0.05,1,20.0,0.3943168520927429,0.2914,0
resumes/data\ACCOUNTANT\14055988.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_mid.txt,ACCOUNTANT,0.0383,0.0,0,22.0,0.3856996297836303,0.3167,0
resumes/data\ACCOUNTANT\14055988.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_senior.txt,ACCOUNTANT,0.0303,0.0,0,22.0,0.3705751895904541,0.2578,0
resumes/data\ACCOUNTANT\14126433.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2509,0.4,0,18.0,0.4750447273254394,0.527,1
resumes/data\ACCOUNTANT\14126433.pdf,jds\BPO\BPO_entry.txt,ACCOUNTANT,0.0315,0.0,1,16.0,0.3230355381965637,0.3479,0
resumes/data\ACCOUNTANT\14224370.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2484,0.2,-1,0.0,0.4961917400360107,0.5698,1
resumes/data\ACCOUNTANT\14224370.pdf,jds\TEACHER\TEACHER_senior.txt,ACCOUNTANT,0.0236,0.1,-2,0.0,0.3784922361373901,0.2482,0
resumes/data\ACCOUNTANT\14224370.pdf,jds\TEACHER\TEACHER_entry.txt,ACCOUNTANT,0.0407,0.0,0,0.0,0.4367068707942962,0.3218,0
resumes/data\ACCOUNTANT\14224370.pdf,jds\TEACHER\TEACHER_mid.txt,ACCOUNTANT,0.0519,0.05,-1,0.0,0.4155551791191101,0.3402,0
resumes/data\ACCOUNTANT\14449423.pdf,jds\ACCOUNTANT\ACCOUNTANT_entry.txt,ACCOUNTANT,0.1907,0.35,-1,8.0,0.5784518718719482,0.6453,1
resumes/data\ACCOUNTANT\14449423.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.238,0.3,-1,10.0,0.5102108716964722,0.5944,1
resumes/data\ACCOUNTANT\14449423.pdf,jds\AVIATION\AVIATION_mid.txt,ACCOUNTANT,0.0626,0.15,0,2.0,0.3115077614784241,0.3176,0
resumes/data\ACCOUNTANT\14449423.pdf,jds\AVIATION\AVIATION_senior.txt,ACCOUNTANT,0.0506,0.15,0,10.0,0.3084933161735534,0.3714,0
resumes/data\ACCOUNTANT\14449423.pdf,jds\AVIATION\AVIATION_entry.txt,ACCOUNTANT,0.0833,0.1,0,8.0,0.3709870874881744,0.319,0
resumes/data\ACCOUNTANT\14470533.pdf,jds\ACCOUNTANT\ACCOUNTANT_entry.txt,ACCOUNTANT,0.1908,0.3,-2,18.0,0.5623270273208618,0.7024,1
resumes/data\ACCOUNTANT\14470533.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2256,0.25,-2,20.0,0.5553178787231445,0.6195,1
resumes/data\ACCOUNTANT\14470533.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_entry.txt,ACCOUNTANT,0.0461,0.05,-1,18.0,0.3567556738853454,0.3023,0
resumes/data\ACCOUNTANT\14470533.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_mid.txt,ACCOUNTANT,0.078,0.2,-2,20.0,0.3609650731086731,0.3504,0
resumes/data\ACCOUNTANT\14470533.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_senior.txt,ACCOUNTANT,0.041,0.05,-2,20.0,0.3129520416259765,0.2448,0
resumes/data\ACCOUNTANT\14491649.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2897,0.35,0,0.0,0.471628189086914,0.563,1
resumes/data\ACCOUNTANT\14491649.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.1964,0.4,0,0.0,0.5045669078826904,0.6087,1
resumes/data\ACCOUNTANT\14491649.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_entry.txt,ACCOUNTANT,0.0456,0.3,1,-2.0,0.4020770788192749,0.2745,0
resumes/data\ACCOUNTANT\14491649.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_mid.txt,ACCOUNTANT,0.0645,0.1,0,-8.0,0.3876751363277435,0.2969,0
resumes/data\ACCOUNTANT\14496667.pdf,jds\CHEF\CHEF_entry.txt,ACCOUNTANT,0.0605,0.15,1,16.0,0.3018730580806732,0.2618,0
resumes/data\ACCOUNTANT\14496667.pdf,jds\CHEF\CHEF_senior.txt,ACCOUNTANT,0.0381,0.05,1,16.0,0.3581451177597046,0.2886,0
resumes/data\ACCOUNTANT\14496667.pdf,jds\CHEF\CHEF_mid.txt,ACCOUNTANT,0.0477,0.15,1,16.0,0.3385253548622131,0.2962,0
resumes/data\ACCOUNTANT\15289348.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2416,0.35,0,8.0,0.486628919839859,0.6872,1
resumes/data\ACCOUNTANT\15289348.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.1639,0.35,0,8.0,0.5350555181503296,0.6582,1
resumes/data\ACCOUNTANT\15289348.pdf,jds\BPO\BPO_entry.txt,ACCOUNTANT,0.0451,0.1,1,6.0,0.3078775405883789,0.3813,0
resumes/data\ACCOUNTANT\15363277.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2282,0.35,-1,0.0,0.470251590013504,0.5614,1
resumes/data\ACCOUNTANT\15363277.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2248,0.35,-1,0.0,0.5120996236801147,0.6091,1
resumes/data\ACCOUNTANT\15363277.pdf,jds\HEALTHCARE\HEALTHCARE_entry.txt,ACCOUNTANT,0.0354,0.1,0,-2.0,0.3268038332462311,0.3068,0
resumes/data\ACCOUNTANT\15592167.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2641,0.3,0,0.0,0.5069618225097656,0.4789,1
resumes/data\ACCOUNTANT\15592167.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2335,0.5,0,0.0,0.5665585994720459,0.5526,1
resumes/data\ACCOUNTANT\15592167.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_mid.txt,ACCOUNTANT,0.0836,0.15,0,-8.0,0.3956212401390075,0.2838,0
resumes/data\ACCOUNTANT\15592167.pdf,jds\BUSINESS-DEVELOPMENT\BUSINESS-DEVELOPMENT_entry.txt,ACCOUNTANT,0.0672,0.1,1,-2.0,0.3477205634117126,0.23,0
resumes/data\ACCOUNTANT\15821633.pdf,jds\SALES\SALES_mid.txt,ACCOUNTANT,0.0313,0.15,-1,10.0,0.3699307441711426,0.2465,0
resumes/data\ACCOUNTANT\15821633.pdf,jds\SALES\SALES_senior.txt,ACCOUNTANT,0.0358,0.15,-1,10.0,0.287914901971817,0.2751,0
resumes/data\ACCOUNTANT\15821633.pdf,jds\SALES\SALES_entry.txt,ACCOUNTANT,0.0253,0.0,0,10.0,0.2890724539756775,0.215,0
resumes/data\ACCOUNTANT\15906625.pdf,jds\ACCOUNTANT\ACCOUNTANT_entry.txt,ACCOUNTANT,0.2409,0.3,-1,13.0,0.6032149195671082,0.5521,1
resumes/data\ACCOUNTANT\15906625.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2874,0.35,-1,15.0,0.5164241790771484,0.563,1
resumes/data\ACCOUNTANT\15906625.pdf,jds\AUTOMOBILE\AUTOMOBILE_senior.txt,ACCOUNTANT,0.026,0.05,-1,15.0,0.265567421913147,0.255,0
resumes/data\ACCOUNTANT\15906625.pdf,jds\AUTOMOBILE\AUTOMOBILE_mid.txt,ACCOUNTANT,0.0319,0.0,0,7.0,0.3204982280731201,0.2947,0
resumes/data\ACCOUNTANT\15906625.pdf,jds\AUTOMOBILE\AUTOMOBILE_entry.txt,ACCOUNTANT,0.0241,0.05,0,13.0,0.2998939752578735,0.276,0
resumes/data\ACCOUNTANT\16237710.pdf,jds\AGRICULTURE\AGRICULTURE_entry.txt,ACCOUNTANT,0.0505,0.0,0,3.0,0.3039261996746063,0.2651,0
resumes/data\ACCOUNTANT\16237710.pdf,jds\AGRICULTURE\AGRICULTURE_senior.txt,ACCOUNTANT,0.056,0.1,-2,3.0,0.342253565788269,0.3085,0
resumes/data\ACCOUNTANT\16237710.pdf,jds\AGRICULTURE\AGRICULTURE_mid.txt,ACCOUNTANT,0.0776,0.05,-1,-4.0,0.278633177280426,0.2439,0
resumes/data\ACCOUNTANT\17306905.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2647,0.4,-1,7.0,0.4946768581867218,0.621,1
resumes/data\ACCOUNTANT\17306905.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2123,0.45,-1,7.0,0.5033615827560425,0.5715,1
resumes/data\ACCOUNTANT\17306905.pdf,jds\FITNESS\FITNESS_senior.txt,ACCOUNTANT,0.0393,0.1,-2,7.0,0.3329136967658996,0.1691,0
resumes/data\ACCOUNTANT\17306905.pdf,jds\FITNESS\FITNESS_entry.txt,ACCOUNTANT,0.0262,0.0,1,5.0,0.2350255697965622,0.1951,0
resumes/data\ACCOUNTANT\17306905.pdf,jds\FITNESS\FITNESS_mid.txt,ACCOUNTANT,0.038,0.15,0,0.0,0.2767749428749084,0.2015,0
resumes/data\ACCOUNTANT\17407184.pdf,jds\ENGINEERING\ENGINEERING_entry.txt,ACCOUNTANT,0.0466,0.0,1,29.0,0.4106091260910034,0.437,0
resumes/data\ACCOUNTANT\17556527.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2334,0.35,0,4.0,0.4459897875785827,0.5615,1
resumes/data\ACCOUNTANT\17556527.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_entry.txt,ACCOUNTANT,0.0419,0.05,1,2.0,0.3601295351982116,0.2832,0
resumes/data\ACCOUNTANT\17556527.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_senior.txt,ACCOUNTANT,0.0343,0.05,0,4.0,0.3558975458145141,0.244,0
resumes/data\ACCOUNTANT\17556527.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_mid.txt,ACCOUNTANT,0.0729,0.15,0,4.0,0.3602200746536255,0.3726,0
resumes/data\ACCOUNTANT\18132924.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2405,0.3,0,19.0,0.5283927917480469,0.5896,1
resumes/data\ACCOUNTANT\18132924.pdf,jds\DESIGNER\DESIGNER_entry.txt,ACCOUNTANT,0.0527,0.2,1,17.0,0.3635241389274597,0.2461,0
resumes/data\ACCOUNTANT\18132924.pdf,jds\DESIGNER\DESIGNER_mid.txt,ACCOUNTANT,0.0468,0.1,0,19.0,0.3594366014003753,0.2785,0
resumes/data\ACCOUNTANT\18132924.pdf,jds\DESIGNER\DESIGNER_senior.txt,ACCOUNTANT,0.0225,0.05,0,19.0,0.3446333110332489,0.2676,0
resumes/data\ACCOUNTANT\18365791.pdf,jds\AVIATION\AVIATION_mid.txt,ACCOUNTANT,0.0398,0.05,0,8.0,0.3919122219085693,0.2878,0
resumes/data\ACCOUNTANT\18365791.pdf,jds\AVIATION\AVIATION_entry.txt,ACCOUNTANT,0.0601,0.05,0,14.0,0.4287216663360595,0.2615,0
resumes/data\ACCOUNTANT\18365791.pdf,jds\AVIATION\AVIATION_senior.txt,ACCOUNTANT,0.0152,0.0,0,16.0,0.349242091178894,0.3172,0
resumes/data\ACCOUNTANT\18569929.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_entry.txt,ACCOUNTANT,0.0386,0.0,1,14.0,0.4417802691459656,0.2729,0
resumes/data\ACCOUNTANT\18569929.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_senior.txt,ACCOUNTANT,0.0312,0.05,0,16.0,0.3544372022151947,0.1655,0
resumes/data\ACCOUNTANT\18569929.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_mid.txt,ACCOUNTANT,0.0347,0.0,0,16.0,0.4142439067363739,0.2467,0
resumes/data\ACCOUNTANT\18635654.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_senior.txt,ACCOUNTANT,0.0205,0.0,-1,6.0,0.2450223863124847,0.1773,0
resumes/data\ACCOUNTANT\18635654.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_entry.txt,ACCOUNTANT,0.0384,0.0,0,4.0,0.2584755718708038,0.2791,0
resumes/data\ACCOUNTANT\18635654.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_mid.txt,ACCOUNTANT,0.0291,0.0,-1,6.0,0.2609302401542663,0.2756,0
resumes/data\ACCOUNTANT\18669563.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_entry.txt,ACCOUNTANT,0.0216,0.0,0,5.0,0.4562207460403442,0.3264,0
resumes/data\ACCOUNTANT\18669563.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_senior.txt,ACCOUNTANT,0.029,0.0,-1,7.0,0.4029615223407745,0.2952,0
resumes/data\ACCOUNTANT\18669563.pdf,jds\DIGITAL-MEDIA\DIGITAL-MEDIA_mid.txt,ACCOUNTANT,0.0333,0.05,-1,7.0,0.44610595703125,0.3683,0
resumes/data\ACCOUNTANT\19446337.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.3564,0.4,0,27.0,0.5527675151824951,0.609,1
resumes/data\ACCOUNTANT\19446337.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2871,0.4,0,27.0,0.625417172908783,0.6231,1
resumes/data\ACCOUNTANT\19446337.pdf,jds\HR\HR_entry.txt,ACCOUNTANT,0.0543,0.0,0,27.0,0.3819678425788879,0.4068,0
resumes/data\ACCOUNTANT\19545827.pdf,jds\CONSTRUCTION\CONSTRUCTION_entry.txt,ACCOUNTANT,0.0396,0.2,1,11.0,0.3085397481918335,0.2189,0
resumes/data\ACCOUNTANT\19545827.pdf,jds\CONSTRUCTION\CONSTRUCTION_senior.txt,ACCOUNTANT,0.0579,0.15,0,13.0,0.3690583705902099,0.3121,0
resumes/data\ACCOUNTANT\19545827.pdf,jds\CONSTRUCTION\CONSTRUCTION_mid.txt,ACCOUNTANT,0.0765,0.4,0,13.0,0.3946385681629181,0.2751,0
resumes/data\ACCOUNTANT\20082776.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2493,0.4,-1,30.0,0.5693935751914978,0.6354,1
resumes/data\ACCOUNTANT\20253563.pdf,jds\ACCOUNTANT\ACCOUNTANT_entry.txt,ACCOUNTANT,0.2331,0.3,-1,13.0,0.4818989038467407,0.6195,1
resumes/data\ACCOUNTANT\20253563.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2409,0.2,-1,15.0,0.4495512545108795,0.6154,1
resumes/data\ACCOUNTANT\20253563.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.1785,0.15,-1,15.0,0.4327512979507446,0.6187,1
resumes/data\ACCOUNTANT\20253563.pdf,jds\APPAREL\APPAREL_senior.txt,ACCOUNTANT,0.0681,0.05,-1,15.0,0.3744632005691528,0.3328,0
resumes/data\ACCOUNTANT\20253563.pdf,jds\APPAREL\APPAREL_entry.txt,ACCOUNTANT,0.0752,0.0,0,13.0,0.3236986100673675,0.3262,0
resumes/data\ACCOUNTANT\20253563.pdf,jds\APPAREL\APPAREL_mid.txt,ACCOUNTANT,0.0878,0.05,-1,15.0,0.3988633453845978,0.3407,0
resumes/data\ACCOUNTANT\20345168.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2443,0.3,-1,14.0,0.5428038239479065,0.5865,1
resumes/data\ACCOUNTANT\20345168.pdf,jds\HR\HR_senior.txt,ACCOUNTANT,0.0547,0.1,-1,14.0,0.4214130938053131,0.3852,0
resumes/data\ACCOUNTANT\20393721.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.261,0.3,0,12.0,0.5916295647621155,0.555,1
resumes/data\ACCOUNTANT\20393721.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_senior.txt,ACCOUNTANT,0.0237,0.05,0,12.0,0.2991266250610351,0.1217,0
resumes/data\ACCOUNTANT\20393721.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_mid.txt,ACCOUNTANT,0.0197,0.05,0,12.0,0.3095324635505676,0.1896,0
resumes/data\ACCOUNTANT\20393721.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_entry.txt,ACCOUNTANT,0.0286,0.0,1,10.0,0.3402109146118164,0.2036,0
resumes/data\ACCOUNTANT\20624984.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.2416,0.35,0,0.0,0.507142961025238,0.5931,1
resumes/data\ACCOUNTANT\20624984.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_senior.txt,ACCOUNTANT,0.0343,0.1,0,0.0,0.2799810469150543,0.237,0
resumes/data\ACCOUNTANT\20624984.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_entry.txt,ACCOUNTANT,0.0351,0.05,1,-2.0,0.2718532681465149,0.2695,0
resumes/data\ACCOUNTANT\20624984.pdf,jds\PUBLIC-RELATIONS\PUBLIC-RELATIONS_mid.txt,ACCOUNTANT,0.055,0.1,0,0.0,0.3109421730041504,0.3429,0
resumes/data\ACCOUNTANT\21031285.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.3021,0.35,-1,12.0,0.4827716946601867,0.531,1
resumes/data\ACCOUNTANT\21031285.pdf,jds\ENGINEERING\ENGINEERING_senior.txt,ACCOUNTANT,0.0377,0.05,-2,12.0,0.2505149841308594,0.2068,0
resumes/data\ACCOUNTANT\21031285.pdf,jds\ENGINEERING\ENGINEERING_mid.txt,ACCOUNTANT,0.0269,0.0,-1,12.0,0.2818590998649597,0.2925,0
resumes/data\ACCOUNTANT\21031285.pdf,jds\ENGINEERING\ENGINEERING_entry.txt,ACCOUNTANT,0.0396,0.1,0,10.0,0.274875670671463,0.2556,0
resumes/data\ACCOUNTANT\21338490.pdf,jds\ACCOUNTANT\ACCOUNTANT_entry.txt,ACCOUNTANT,0.3274,0.35,0,16.0,0.6036413311958313,0.6614,1
resumes/data\ACCOUNTANT\21338490.pdf,jds\ACCOUNTANT\ACCOUNTANT_mid.txt,ACCOUNTANT,0.3405,0.4,0,18.0,0.5134703516960144,0.6056,1
resumes/data\ACCOUNTANT\21338490.pdf,jds\ACCOUNTANT\ACCOUNTANT_senior.txt,ACCOUNTANT,0.2226,0.35,0,18.0,0.5412052869796753,0.6339,1
resumes/data\ACCOUNTANT\21338490.pdf,jds\INFORMATION-TECHNOLOGY\INFORMATION-TECHNOLOGY_mid.txt,ACCOUNTANT,0.0554,0.1,0,18.0,0.3827687501907348,0.3592,0
